// Reference=MNI

// 10388802-1
// Subjects=20
-36.0	60.0	6.0
36.0	-78.0	-36.0
61.0	-15.0	-18.0
-3.0	57.0	0.0
42.0	-66.0	36.0
48.0	42.0	3.0
27.0	-81.0	-42.0
36.0	63.0	12.0
-27.0	-30.0	-15.0
18.0	-78.0	-45.0
-30.0	-63.0	-30.0
-6.0	-48.0	39.0
42.0	39.0	0.0

// 11683908-1
// Subjects=20
-37.7	56.8	-24.0
-24.8	22.6	-28.0
-46.2	22.4	-27.7
-35.4	30.5	-7.3
-25.9	22.7	-25.8
-45.0	21.8	-8.7
-39.6	32.6	-6.4
-4.7	62.6	-34.9
-25.9	53.2	-17.2
-37.7	59.0	-24.2
-35.4	28.4	-6.0
-41.9	53.6	-10.3

// 12821520-1
// Subjects=20
-6.0	-55.0	29.0
-6.0	-55.0	29.0
34.0	-26.0	-7.0
4.0	-41.0	28.0
-38.0	-28.0	-12.0
34.0	-13.0	-20.0
-6.0	-55.0	29.0
8.0	-64.0	31.0
42.0	-20.0	-7.0
-26.0	-14.0	-14.0
28.0	-28.0	-10.0
30.0	-3.0	-18.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
42.0	-4.0	-12.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0
28.0	-9.0	-15.0
-6.0	-55.0	29.0
-6.0	-55.0	29.0

// 15219608-1
// Subjects=20
2.0	-33.0	-5.0
16.0	-43.0	-10.0
0.0	21.0	34.0
-32.0	16.0	45.0
-4.0	-53.0	-7.0
-8.0	15.0	60.0
8.0	-63.0	-14.0
-12.0	-37.0	-12.0
18.0	-51.0	19.0
2.0	-58.0	5.0
-2.0	-50.0	-33.0
6.0	-55.0	21.0
-6.0	-51.0	23.0
28.0	-51.0	-19.0
-2.0	-42.0	-18.0
18.0	-79.0	-28.0
40.0	-64.0	-30.0
0.0	18.0	40.0
-32.0	-56.0	-36.0
-20.0	-40.0	-27.0
-28.0	38.0	20.0
-30.0	26.0	-25.0
-36.0	-68.0	-37.0
-16.0	-9.0	8.0
-34.0	-57.0	23.0
-42.0	-61.0	33.0
-14.0	52.0	-8.0
-8.0	59.0	12.0
-4.0	6.0	-5.0
-28.0	22.0	-16.0
6.0	9.0	25.0
-30.0	-59.0	39.0
-40.0	69.0	30.0
-51.0	15.0	-16.0
-34.0	-70.0	40.0
-36.0	21.0	-1.0

// 15537676-1
// Subjects=20
-14.0	46.0	44.0
32.0	20.0	-22.0
-26.0	20.0	-24.0
48.0	38.0	22.0
-18.0	46.0	0.0
42.0	18.0	50.0
-6.0	60.0	10.0
-36.0	-28.0	-18.0
-28.0	-12.0	-12.0
-44.0	18.0	-18.0
-56.0	22.0	14.0
32.0	-18.0	-20.0
-42.0	38.0	16.0
-4.0	56.0	-14.0
-16.0	-2.0	-18.0
54.0	10.0	42.0
30.0	-34.0	-20.0
-38.0	-32.0	-28.0
8.0	40.0	18.0
-22.0	48.0	-12.0
-38.0	44.0	38.0
-14.0	-2.0	-26.0
14.0	0.0	-28.0
-42.0	30.0	24.0
28.0	56.0	18.0
-16.0	42.0	20.0

// 15546700-1
// Subjects=20
48.0	-33.0	45.0
63.0	-39.0	18.0
33.0	42.0	33.0
-30.0	0.0	54.0
36.0	-48.0	60.0
0.0	25.0	48.0
54.0	12.0	24.0
-48.0	9.0	27.0
36.0	57.0	12.0
36.0	-3.0	60.0
30.0	-6.0	63.0
-24.0	-66.0	54.0
-21.0	9.0	63.0
36.0	-42.0	-48.0
-40.0	-14.0	58.0
-51.0	-69.0	-3.0
60.0	12.0	24.0
-30.0	-96.0	-3.0
27.0	-60.0	48.0
24.0	-81.0	39.0
-3.0	3.0	51.0
-45.0	-39.0	51.0
42.0	-66.0	-18.0
-42.0	-72.0	-18.0
-57.0	9.0	27.0
63.0	-21.0	39.0
-36.0	54.0	9.0
51.0	12.0	36.0
27.0	12.0	60.0
39.0	-78.0	33.0
-42.0	24.0	-9.0
12.0	-69.0	57.0
57.0	-24.0	42.0
-24.0	-69.0	51.0
0.0	21.0	45.0
-51.0	-51.0	36.0
-12.0	-18.0	3.0
-18.0	-78.0	45.0
-45.0	-30.0	51.0
-33.0	-39.0	-45.0
30.0	9.0	57.0
42.0	-69.0	33.0
-39.0	57.0	3.0
36.0	-78.0	33.0
-9.0	-66.0	54.0
-27.0	-60.0	-27.0
-51.0	-33.0	51.0
-54.0	6.0	39.0
51.0	-63.0	-3.0
54.0	-60.0	-12.0
51.0	-66.0	-12.0
18.0	-60.0	48.0
36.0	27.0	-9.0
21.0	-51.0	-27.0
-57.0	-51.0	12.0
-39.0	-48.0	-51.0
30.0	-60.0	-27.0
-24.0	9.0	63.0
-24.0	-66.0	51.0

// 15704151-1
// Subjects=20
-14.0	-38.0	-14.0
-14.0	-38.0	-14.0
-14.0	-36.0	-16.0
-24.0	-20.0	-18.0
-28.0	-66.0	-18.0
-12.0	-38.0	-16.0
-12.0	-38.0	-14.0

// 15721179-1
// Subjects=20
56.0	30.0	4.0
56.0	-15.0	-19.0
-45.0	-53.0	19.0
-49.0	-60.0	15.0
-45.0	4.0	45.0
-8.0	-68.0	15.0
23.0	-30.0	-19.0
-8.0	15.0	64.0
26.0	-15.0	-19.0
8.0	-60.0	19.0
45.0	-68.0	15.0
-38.0	-83.0	23.0
-26.0	-45.0	-19.0
-22.0	-6.0	-21.0
-49.0	-49.0	45.0
30.0	56.0	-11.0
19.0	-4.0	23.0
25.0	-10.0	-21.0
-11.0	53.0	23.0
-28.0	-20.0	-17.0

// 15728761-1
// Subjects=20
51.0	27.0	-3.0
-30.0	60.0	12.0
-33.0	12.0	48.0
-42.0	30.0	27.0
-27.0	0.0	-15.0
0.0	-42.0	0.0
-45.0	30.0	18.0
36.0	-75.0	-27.0
-18.0	-6.0	12.0
-3.0	54.0	27.0
0.0	21.0	54.0
-45.0	-72.0	-15.0
-48.0	30.0	-12.0
18.0	-99.0	0.0
-33.0	27.0	-12.0
0.0	-69.0	42.0
3.0	24.0	51.0
-21.0	0.0	-15.0
33.0	-54.0	39.0
-12.0	-99.0	-9.0
-15.0	6.0	12.0
-3.0	-69.0	36.0
18.0	-10.0	6.0
33.0	-66.0	-24.0
-30.0	60.0	0.0
-12.0	-10.0	-3.0
-18.0	51.0	30.0
-12.0	66.0	12.0
-33.0	-57.0	51.0
39.0	57.0	3.0

// 15772360-1
// Subjects=20
9.0	63.0	21.0
-45.0	-21.0	39.0
63.0	3.0	27.0
-6.0	30.0	42.0
36.0	-66.0	48.0
-54.0	-42.0	21.0
-33.0	15.0	-6.0
-54.0	-27.0	18.0
39.0	-51.0	36.0
-6.0	54.0	-6.0
3.0	30.0	-9.0
21.0	15.0	6.0
6.0	51.0	-12.0
-54.0	-63.0	0.0
-9.0	-96.0	6.0
-48.0	-69.0	0.0
-18.0	-18.0	-21.0
-33.0	-60.0	36.0
15.0	-60.0	-15.0
9.0	15.0	3.0
27.0	9.0	39.0
-30.0	39.0	-12.0
24.0	30.0	-15.0
-6.0	-24.0	24.0
-15.0	-51.0	-15.0
30.0	-51.0	-30.0
-3.0	-54.0	6.0
-45.0	-6.0	12.0
-48.0	24.0	21.0
-45.0	-27.0	18.0
18.0	-3.0	12.0
-45.0	-3.0	-3.0
-36.0	57.0	-3.0
60.0	-24.0	15.0
66.0	-39.0	-3.0
6.0	0.0	39.0
-42.0	-54.0	15.0
9.0	-72.0	36.0
-21.0	-42.0	63.0
54.0	-69.0	9.0
30.0	-21.0	-21.0
-24.0	-21.0	-21.0
54.0	-12.0	48.0
0.0	-45.0	30.0
57.0	-48.0	3.0
36.0	-36.0	60.0

// 15869492-1
// Subjects=20
36.0	9.0	3.0
9.0	3.0	39.0
-6.0	-96.0	21.0
30.0	0.0	-12.0
3.0	-18.0	9.0
-9.0	-30.0	6.0
-18.0	3.0	-24.0
-21.0	-33.0	-3.0
-3.0	-78.0	30.0
15.0	-45.0	-51.0
27.0	-48.0	-15.0
-9.0	-39.0	39.0
-9.0	-9.0	9.0
-12.0	-57.0	-48.0
15.0	15.0	69.0
18.0	-48.0	51.0
33.0	-33.0	42.0
-15.0	18.0	-18.0
-3.0	-12.0	9.0
24.0	-9.0	-15.0
-33.0	-18.0	-11.0
-36.0	-39.0	-21.0
-3.0	-12.0	45.0
15.0	-84.0	39.0
-63.0	-24.0	-3.0
66.0	-42.0	-12.0
27.0	-33.0	0.0
24.0	-36.0	-33.0
30.0	-78.0	-15.0
-24.0	-90.0	-12.0
-33.0	-69.0	-9.0
30.0	6.0	-21.0
39.0	-9.0	27.0
24.0	-93.0	-6.0
15.0	-33.0	0.0
-15.0	-84.0	15.0
27.0	-30.0	-27.0
-39.0	-72.0	51.0
-36.0	-81.0	15.0
39.0	-18.0	69.0
-21.0	60.0	6.0
-42.0	-63.0	33.0
-3.0	42.0	3.0
33.0	6.0	-30.0
-27.0	12.0	-21.0
15.0	12.0	-21.0
33.0	-27.0	9.0
-9.0	42.0	54.0
63.0	-9.0	-21.0
36.0	-72.0	-51.0
-54.0	-15.0	-15.0
63.0	-48.0	-3.0
-33.0	-93.0	3.0
-39.0	-81.0	18.0
6.0	48.0	6.0
9.0	51.0	-9.0
9.0	-72.0	-15.0
-36.0	-42.0	-21.0
-63.0	-48.0	-9.0
39.0	-3.0	30.0
-42.0	12.0	48.0
45.0	51.0	15.0
-9.0	-39.0	3.0
-57.0	-54.0	0.0
-57.0	-39.0	12.0
-39.0	-69.0	36.0
39.0	-63.0	42.0
69.0	-18.0	21.0
-39.0	9.0	60.0
-9.0	54.0	-9.0
42.0	-6.0	42.0
-33.0	33.0	12.0
6.0	-66.0	21.0
18.0	-87.0	-24.0
27.0	-21.0	-9.0
51.0	-66.0	21.0
48.0	36.0	18.0
36.0	-81.0	24.0
-66.0	-30.0	-12.0
-21.0	-96.0	-6.0
-12.0	-6.0	-18.0
0.0	-39.0	39.0
33.0	-18.0	-12.0
-33.0	-27.0	-15.0
-36.0	-18.0	-24.0
-21.0	57.0	33.0
-54.0	-9.0	-18.0
6.0	60.0	3.0
24.0	21.0	51.0
45.0	18.0	27.0
6.0	-93.0	27.0
54.0	3.0	9.0
-6.0	51.0	-15.0
27.0	-93.0	21.0
-24.0	-78.0	3.0
-42.0	-39.0	9.0
33.0	-72.0	33.0
51.0	-6.0	-18.0
-45.0	9.0	-36.0
-30.0	-84.0	42.0
24.0	-72.0	-39.0
-60.0	6.0	9.0
24.0	-54.0	39.0

// 15919215-1
// Subjects=20
-27.0	37.0	-7.0
-48.0	-23.0	51.0
-35.0	-20.0	62.0
-35.0	-25.0	58.0
-9.0	-6.0	50.0
-35.0	-64.0	-2.0
-3.0	-31.0	24.0
17.0	-2.0	-18.0
-40.0	-37.0	53.0
-37.0	-63.0	44.0
-56.0	-6.0	-22.0
-27.0	-9.0	-22.0
-27.0	-45.0	25.0
-20.0	-13.0	-17.0
23.0	6.0	10.0
