,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7
41,15772360-1,0.002656891942024231,0.002587859984487295,0.0016604941338300705,0.00400999141857028,4.65768898720853e-05,1.4107938113738783e-05,0.0005468261078931391
42,15784424-1,0.001510627567768097,0.0,2.1653117073583417e-05,0.00016009471437428147,0.0,1.2587316744472332e-09,0.0
43,15811551-1,0.0009549889946356416,0.003313256660476327,0.0,0.0007110396982170641,0.007901501841843128,0.0,0.006712585221976042
44,15817169-1,0.0038396266754716635,0.00258057052269578,0.004202921409159899,0.0023374995216727257,0.008971678093075752,1.2981224699615268e-06,0.0
45,15850739-1,0.0033576912246644497,0.004204664845019579,0.0008930751355364919,0.0005630105151794851,0.007772545330226421,0.001217460841871798,0.013719289563596249
46,15854792-1,0.0016070727724581957,0.0008125724270939827,0.0014753566356375813,0.0,0.0,0.0,1.49948789496257e-10
47,15869492-1,0.004318501800298691,0.00230559054762125,0.008241587318480015,0.006684426683932543,0.00899589154869318,0.01011338084936142,0.0004161710967309773
48,15919215-1,0.002314609009772539,0.0010954267345368862,0.00554491626098752,0.0015383081045001745,0.0014798791380599141,0.0020242640748620033,0.0009518424049019814
49,15953711-1,0.0025856192223727703,0.0029753197450190783,0.0032062779646366835,0.0015560881001874804,2.5703015126055107e-05,0.00013160808885004371,0.00015194581646937877
50,15955491-1,0.0006014237878844142,0.000514774932526052,0.0,0.0021495246328413486,0.0,8.255798888967547e-07,0.0
51,15955493-1,0.0011682321783155203,0.0008411002927459776,0.004196838475763798,0.0002370253496337682,0.0,0.0015722240786999464,0.00035221155849285424
52,15961050-1,0.001868677674792707,0.0016938250046223402,8.590202924096957e-06,3.839654816317761e-09,0.0014565231977030635,3.702151918361096e-10,0.005334903486073017
53,15982902-1,0.0027590275276452303,0.004615323152393103,0.0025735939852893353,4.951901064487174e-05,2.4772539575224073e-08,0.009934415109455585,0.001739045837894082
54,16027012-1,0.008426292799413204,0.0077870916575193405,0.00411565974354744,0.008996154181659222,0.012423485517501831,0.011462106369435787,0.012992024421691895
55,16049191-1,7.532478463190273e-08,0.00043080170871689916,0.0,0.0,1.9297944220397767e-07,0.0,1.856366083075045e-07
56,16079408-1,0.0012490956578403711,0.002497996436432004,0.0013076101895421743,0.0007003648206591606,0.004868619609624147,0.0,6.907316219439963e-06
57,16084739-1,0.0031729915644973516,0.002626451663672924,0.004123752471059561,0.0037911145482212305,0.007241910323500633,1.0687372196116485e-06,0.0051558008417487144
58,16168731-1,0.0036389699671417475,0.0023731400724500418,0.002277735387906432,0.0020881544332951307,1.0100489816977642e-05,0.0005053278291597962,0.0022070573177188635
59,16242350-1,0.00038806445081718266,0.0009317310759797692,0.0,0.0,6.001523900067696e-08,0.0,0.0019464977085590363
60,16242924-1,0.0002695299335755408,0.00049849838251248,9.984136113416753e-07,0.0,0.0,0.0,0.0
61,16257547-1,0.0,0.0,0.0,0.0,1.692915611783974e-05,0.0,0.0
62,16290017-1,0.0025044323410838842,0.0024428539909422398,5.010798997950872e-10,0.005428331904113293,0.0007481169886887074,0.008317690342664719,0.0
63,16414279-1,0.0010504318634048104,0.0011215551057830453,0.005332715343683958,0.0030788308940827847,0.004033037927001715,1.3327746684055342e-09,0.0019466871162876487
64,16480749-1,0.0011628686916083097,0.003098048036918044,1.1620376426435541e-05,0.005615256726741791,0.0021161814220249653,0.005209178663790226,0.0002847839496098459
65,16492377-1,0.0016975384205579758,0.0031086071394383907,0.0013577252393588424,0.0019474276341497898,0.0,0.006925650406628847,6.444798827942577e-07
66,16513147-1,0.002853068755939603,0.005206073168665171,2.5053994434642846e-09,0.0058061229065060616,0.0029342477209866047,0.0036632982082664967,0.009387639351189137
67,16513369-1,0.0015153669519349933,0.0021898436825722456,0.0025417055003345013,0.003111074212938547,0.004842772614210844,0.005424470640718937,0.0024700588546693325
68,16525800-1,0.0016300100833177567,0.001492583192884922,3.113615036909323e-07,0.003794579766690731,0.003139089560136199,0.0010085945250466466,0.00649059284478426
69,16624583-1,0.002809750847518444,0.004918647464364767,0.0035746791400015354,0.003151465905830264,0.015329267829656601,0.0002728069666773081,0.009556184522807598
70,16740379-1,0.0012910605873912573,0.0010335880797356367,0.0,4.367607431277065e-08,5.2098701416980475e-05,6.767533733409437e-08,0.0
71,16757006-1,0.00041215712553821504,0.0006702816463075578,0.003328760853037238,3.299703565939893e-10,0.0,1.3196172403695527e-05,0.0
72,16759672-1,0.0009813780197873712,0.0013461483176797628,0.00021212734282016754,0.0016710760537534952,0.0,5.590249330111874e-08,0.0
73,16769093-1,0.0017446160782128572,0.0035263600293546915,0.00185158581007272,0.0025487644597887993,3.462482345639728e-05,7.404303559166436e-11,5.858499321220734e-07
74,16837057-1,0.002023274777457118,0.0011024677660316229,0.0025120254140347242,0.00073814089410007,0.004952577408403158,0.002636123448610306,0.00014015496708452702
75,16899645-1,0.0017757966415956616,0.0,0.0017584116430953145,0.002072574570775032,0.0,0.0,0.0
76,16919479-1,0.005373361054807901,0.007654265966266394,0.001421578461304307,0.00552088487893343,4.860070816903317e-07,0.01039266400039196,0.010569360107183456
77,16930636-1,0.0019116414478048682,0.002660102676600218,3.2849700801307335e-05,0.001390339806675911,0.0005030639003962278,0.0004488890990614891,0.0031764497980475426
78,16959412-1,0.0019428381929174066,0.003016164992004633,0.0009560681646689773,0.0006180019699968398,2.7441403815942067e-08,0.011438054963946342,0.0018646267708390951
79,17008145-1,0.002309780102223158,0.0019324504537507892,0.005499964114278555,0.0008205061894841492,3.697842112160288e-05,0.010143454186618328,4.648412499363985e-08
80,17088375-1,0.0022866756189614534,0.0006616639439016581,0.0018104573246091604,0.005032419692724943,0.0007252396317198873,2.5174633488944664e-09,0.0
81,17150375-1,0.0003020343719981611,0.0002131088258465752,0.0014705830253660679,0.0,0.0,1.0488566658750642e-05,0.0
82,17204820-1,0.004301893059164286,0.008948391303420067,0.0023071637842804193,0.0034084476064890623,8.775699097895995e-05,7.18217441075808e-09,0.0008238339796662331
83,17204822-1,0.0031949623953551054,0.0014515073271468282,0.0002084057341562584,0.000974871392827481,0.003684100927785039,0.00021712468878831714,0.0009395810775458813
