,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7
169,20007242-1,2,1,0,1,0,0,0
170,20007783-1,3,0,1,0,0,0,0
171,20012682-1,14,12,0,8,3,0,1
172,20045478-1,6,5,1,0,0,0,0
173,20060480-1,3,10,0,1,0,2,2
174,20079444-1,3,0,1,1,0,0,0
175,20097295-1,12,7,2,1,1,0,0
176,20123026-1,11,9,2,3,0,0,0
177,20147540-1,8,1,3,0,0,0,0
178,20156657-1,0,0,0,0,0,0,1
179,20226767-1,0,2,0,0,0,0,1
180,20232398-1,2,0,3,0,0,0,0
181,20303392-1,5,10,1,0,0,0,0
182,20336690-1,1,2,0,1,0,0,1
183,20350180-1,1,2,1,1,0,0,1
184,20363808-1,7,5,2,0,0,0,0
185,20385169-1,23,7,7,4,0,1,2
186,20399796-1,15,2,2,3,0,0,1
187,20420925-1,14,12,1,1,0,0,0
188,20558088-1,2,0,1,0,0,1,0
189,20600998-1,10,26,2,4,2,0,4
190,20617887-1,6,0,3,2,0,0,0
191,20624599-1,20,12,1,4,1,0,1
192,20631183-1,6,0,3,0,0,0,0
193,20637787-1,4,3,1,0,0,0,2
194,20740073-1,2,0,0,1,0,0,0
195,20800687-1,2,1,0,0,0,0,0
196,20832483-1,0,0,0,0,0,0,0
197,20957158-1,2,1,0,0,0,0,1
198,20974213-1,1,0,0,1,0,0,0
199,21048124-1,2,1,3,0,0,0,0
200,21259387-1,5,2,4,1,1,0,0
201,21262244-1,44,24,16,6,2,0,4
202,21265605-1,5,7,0,0,1,0,1
203,21282317-1,3,3,1,0,0,0,0
204,21316476-1,81,28,6,3,0,2,0
205,21326612-1,3,2,3,0,0,3,0
206,21436048-1,2,1,0,0,0,0,0
207,21452939-1,1,8,0,0,0,0,0
208,21455941-1,5,8,0,2,0,0,0
209,21494597-1,3,1,1,1,0,0,0
210,21549721-1,11,2,0,1,0,0,0
211,21550407-1,8,8,1,2,0,1,1
212,21561699-1,4,6,5,3,1,1,1
213,21575660-1,9,5,2,3,2,0,0
214,21589884-1,3,1,2,0,0,0,0
215,21600227-1,13,26,3,1,3,0,0
216,21600991-1,0,1,0,0,0,0,0
217,21613466-1,0,4,0,0,1,0,0
218,21640981-1,3,5,0,1,0,0,0
219,21671743-1,10,9,2,1,0,1,0
220,21683723-1,6,10,3,0,0,0,0
221,21736451-1,6,3,0,2,0,0,0
222,21736454-1,10,7,4,0,2,0,1
223,21777596-1,8,18,1,0,2,0,3
224,21803063-1,22,10,4,2,6,0,4
225,21810986-1,4,1,4,0,0,1,0
226,21880922-1,16,11,4,6,1,0,2
227,21935483-1,16,8,5,0,0,0,2
228,21945808-1,7,3,3,0,0,1,1
229,22001165-1,6,4,5,2,0,0,0
230,22001264-1,6,6,0,0,0,0,0
231,22015853-1,0,0,1,0,0,0,3
232,22024505-1,5,4,0,0,0,0,0
233,22040905-1,10,4,2,2,0,0,1
234,22049444-1,1,2,0,1,0,0,0
235,22066586-1,1,1,1,0,0,0,1
236,22069387-1,6,0,0,0,0,0,0
237,22079921-1,2,2,0,0,0,0,0
238,22114083-1,6,1,2,0,0,0,0
239,22230115-1,21,0,23,0,0,0,0
240,22242196-1,1,5,1,0,0,0,0
241,22288392-1,10,6,1,0,0,0,1
242,22305991-1,13,9,7,0,0,0,1
243,22347857-1,1,0,0,1,0,0,0
244,22349799-1,1,0,1,0,0,0,0
245,22360275-1,4,3,1,1,0,0,0
246,22386970-1,4,4,1,0,1,2,0
247,22412928-1,1,0,0,0,0,0,0
248,22421385-1,22,9,7,1,3,2,1
249,22422512-1,3,0,1,0,0,0,0
250,22446489-1,20,18,6,2,0,4,4
251,22465843-1,2,2,0,0,0,0,0
252,22584225-1,48,33,4,5,1,0,0
253,22728150-1,1,1,1,0,0,0,0
254,22753179-1,4,4,1,0,0,1,0
255,22787051-1,2,0,1,0,0,0,0
256,22807169-1,8,0,9,0,0,0,0
257,22815515-1,16,16,4,2,1,3,4
258,22846335-1,2,0,1,0,0,0,0
259,22855822-1,10,15,6,1,2,3,4
260,22877840-1,12,8,4,2,3,0,1
261,22884936-1,5,3,1,0,1,0,1
262,22902538-1,4,4,2,0,2,1,0
263,22981810-1,1,1,1,0,0,0,0
264,22981890-1,0,2,0,2,0,0,0
265,23019246-1,11,6,0,2,0,0,0
266,23026757-1,1,0,0,0,0,0,0
267,23028774-1,4,3,1,1,0,0,0
268,23036282-1,8,1,2,3,0,0,0
269,23084971-1,2,1,1,2,1,0,1
270,23110678-1,7,2,0,1,0,0,0
271,23136408-1,5,2,0,2,0,0,1
272,23147501-1,1,0,0,0,0,0,0
273,23149036-1,1,0,1,0,0,0,0
274,23201363-1,7,3,1,2,1,1,1
275,23206530-1,19,20,1,0,1,0,2
276,23207576-1,5,3,0,0,0,0,0
277,23219676-1,20,4,6,4,2,0,0
278,23249350-1,4,6,1,1,0,1,0
279,23266012-1,3,0,1,1,0,0,0
280,23292620-1,2,6,3,1,1,1,2
281,23314939-1,6,3,2,0,1,0,0
282,23376052-1,17,8,4,2,2,2,0
283,23384193-1,11,5,0,3,2,3,2
284,23435209-1,17,9,2,0,1,15,0
285,23482628-1,7,2,2,1,0,0,0
286,23484632-1,11,3,7,1,0,0,1
287,23536785-1,12,8,2,0,1,0,0
288,23542499-1,0,1,0,0,0,0,0
289,23553546-1,5,0,2,2,0,0,0
290,23578576-1,13,9,0,3,0,2,1
291,23593393-1,4,5,0,0,0,0,1
292,23638050-1,7,2,0,2,0,0,0
293,23734122-1,16,12,4,3,0,0,0
294,23761912-1,6,2,1,1,0,0,0
295,23770536-1,0,1,0,0,0,0,0
296,23918599-1,2,3,1,1,0,0,0
297,23936055-1,9,3,2,1,1,1,0
298,23954715-1,9,10,5,0,0,0,0
299,23962957-1,0,2,0,0,0,0,0
300,24009565-1,17,2,9,0,0,0,0
301,24009657-1,5,5,0,0,0,0,0
302,24094578-1,3,4,4,0,1,0,0
303,24108799-1,8,9,3,3,2,0,0
304,24144246-1,10,5,1,2,0,0,0
305,24171733-1,14,4,9,8,1,0,1
306,24177990-1,4,5,0,0,0,0,0
307,24269803-1,0,2,1,0,0,0,1
308,24269856-1,12,5,2,2,1,1,1
309,24283491-1,8,7,3,0,0,0,2
310,24315838-1,12,9,0,1,2,1,2
311,24367516-1,17,5,1,5,0,0,0
312,24389503-1,6,10,1,0,0,0,0
