,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7,PositiveTail 8,PositiveTail 9,PositiveTail 10,PositiveTail 11
23,17088375-1,0.007373910862952471,0.0012557362206280231,1.550157513463546e-08,1.0034452158080853e-09,0.0013128315331414342,0.0024574114941060543,0.005059105809777975,0.0,1.9358736608410254e-05,6.59654403989407e-07,0.0
24,17150375-1,0.00037342359428294003,0.0007762852474115789,4.0806256151881826e-07,6.575907173100859e-05,5.155963663128205e-06,0.004558810964226723,0.0,0.0,0.0,0.0,0.0
25,17204822-1,0.006770196370780468,0.0020330925472080708,0.006171558052301407,0.0008324283408001065,0.007289420813322067,1.4312307428099302e-07,0.004496653098613024,4.653000723919831e-05,0.0004996716161258519,1.9660636496610095e-07,0.029145626351237297
26,17204823-1,0.011502387933433056,3.3504577584553275e-11,0.011314270086586475,1.8312874772163923e-07,0.00211083865724504,0.014531590044498444,0.0,0.0034328587353229523,0.0,5.414370389189571e-05,0.0
27,17449068-1,0.005013932939618826,0.008781825192272663,0.0036464522127062082,0.006667457055300474,5.109790072310716e-05,0.003631293075159192,0.00345372362062335,1.5482444837289222e-07,0.00842266995459795,0.017092974856495857,4.063953173982782e-09
28,17631361-1,0.010242373682558537,0.02363850735127926,0.013876618817448616,0.015412676148116589,0.01787402853369713,4.0590492744740914e-08,0.02080908603966236,0.031196262687444687,0.03738510236144066,0.0024603940546512604,4.4351273231768573e-07
29,17644222-1,0.0,0.0,0.0,0.0,0.001996649196371436,0.0,0.0,0.0,0.0,0.0,0.007501369342207909
30,17651006-1,0.00694303447380662,0.017400382086634636,1.0868257049878594e-06,0.009933147579431534,0.036138199269771576,1.3197529824537924e-07,0.0,0.02366911992430687,7.957828347571194e-05,0.02243681624531746,0.03110234998166561
31,17711573-1,0.01139063946902752,0.01582997292280197,0.005833458621054888,0.00022987725969869643,0.012593409977853298,0.005273931659758091,0.029820691794157028,0.02151774801313877,3.119735629297793e-05,0.0,0.0
32,18160644-1,0.013629867695271969,0.001447468064725399,0.010822574608027935,2.4231194402091205e-06,0.011573350988328457,0.021137740463018417,0.018928851932287216,0.0,0.0,2.4452137949992903e-05,0.04071669280529022
33,18165281-1,0.007302009966224432,0.0026616877876222134,0.003551263827830553,6.347794169414556e-06,0.004412864334881306,0.001241249148733914,0.01012587919831276,1.0126515007868875e-05,8.960564628068823e-06,0.00034028248046524823,0.02182968333363533
34,18274617-1,0.005935808178037405,0.003183085471391678,0.012672382406890392,0.005577005445957184,0.0002797748311422765,0.016893334686756134,2.7317736339682597e-07,1.8662527509150095e-05,0.0,0.014460989274084568,0.002952688606455922
35,18321871-1,0.0005231063114479184,0.0036242236383259296,0.0,0.0,0.007713501341640949,0.0,0.00010485207167221233,0.004536780994385481,0.0,2.2529665955062228e-07,0.0
36,18420234-1,0.0020235225092619658,0.009516961872577667,0.015901535749435425,0.02260829508304596,0.004672583658248186,0.018082430586218834,0.0,0.020830370485782623,0.0,0.022595064714550972,0.0
37,18455740-1,0.0019703502766788006,0.00012172271817689762,0.0037691735196858644,0.0013624971034005284,0.004717315547168255,0.009891600348055363,0.0,0.00014692194235976785,0.0008105913293547928,1.1406949852243997e-05,0.0009271787130273879
38,18619985-1,0.0037723227869719267,0.007179546635597944,0.004456360824406147,3.9236812881426886e-05,0.0032924136612564325,0.009938924573361874,0.002504992298781872,0.019289540126919746,0.02590121328830719,0.0024185236543416977,0.002168339677155018
39,18649352-1,0.0049749636091291904,0.011285023763775826,0.000882432796061039,0.015037122182548046,0.004497929941862822,0.000782058690674603,0.0033981050364673138,3.400971024802857e-07,0.0056467484682798386,0.033308640122413635,0.0
40,18820289-1,2.632991380480121e-09,0.006827283184975386,0.0,0.0,0.003160577965900302,0.00014950930199120194,9.384617442265153e-06,0.0,2.676126875655882e-08,0.0,0.0
41,19038275-1,0.008242581970989704,0.008602045476436615,0.0,1.0034452158080853e-09,0.008077332749962807,0.0,0.0,0.00017729097453411669,0.0,0.0014182967133820057,0.0
42,19058792-1,1.900761344586499e-05,0.003611462190747261,0.00019167085702065378,0.0002845163398887962,0.0005029835738241673,4.495071329047029e-11,0.008438527584075928,0.0014115911908447742,0.0,0.0025639906525611877,3.394755481167522e-07
43,19110014-1,0.01246072631329298,0.00800455641001463,0.005947612691670656,0.013949792832136154,0.004216785542666912,0.008299198001623154,0.008066968061029911,0.028811641037464142,7.493844896089286e-05,0.017207128927111626,0.0
44,19146963-1,0.003957694862037897,0.007403927855193615,0.00462479330599308,0.018281735479831696,0.007126923650503159,0.004962359555065632,0.00400857999920845,0.020255904644727707,0.003137202002108097,9.306953870691359e-05,0.03250421956181526
45,19240137-1,0.0014646048657596111,0.013550820760428905,0.002148956526070833,0.012084376066923141,0.022413333877921104,1.3303073501447216e-05,0.0061587062664330006,0.0,0.0007551502785645425,5.673561531693849e-07,0.0007010557455942035
46,19272364-1,0.011416221037507057,0.00676696328446269,0.006964163854718208,0.009728115051984787,0.005670521873980761,0.0017207080963999033,0.013318638317286968,0.019227806478738785,0.0010282322764396667,0.014342475682497025,0.0
47,19279244-1,0.009734000079333782,0.006476580630987883,0.015825049951672554,0.02115176059305668,0.00860156025737524,0.0053973025642335415,6.545072928076934e-09,3.5430623768206715e-08,0.002362089464440942,0.015540806576609612,0.0030239555053412914
48,19285142-1,0.007738945540040731,0.006683135870844126,0.00024184264475479722,0.006776595953851938,0.008261223323643208,2.8020205718348734e-05,0.008340162225067616,0.014747978188097477,3.3451584613430896e-08,0.03117869235575199,0.0
49,19301994-1,0.01219420600682497,0.007480908650904894,0.004325842950493097,0.006954174023121595,0.005415650550276041,0.013756422325968742,0.0006749503081664443,0.022466184571385384,4.855548354498751e-07,4.688305637046142e-07,4.822557642114589e-08
50,19383503-1,0.005184048321098089,0.0030870165210217237,0.005642091855406761,0.011150226928293705,0.00873404648154974,0.01065019890666008,0.008353088051080704,1.3302538718562573e-05,0.0011243647895753384,0.000149753104778938,0.005005211569368839
51,19400677-1,0.011365917511284351,0.009194201789796352,5.861185854882933e-06,0.008352693170309067,0.013024582527577877,3.4895238059107214e-06,0.009704004041850567,1.3526378950245999e-07,2.278539614053443e-05,0.010240888223052025,0.0
52,19413478-1,0.002156110480427742,2.336815305170603e-05,0.0,0.0,0.0013879988109692931,2.9128061740379962e-08,0.002457248279824853,1.8637985377267796e-08,0.0,0.0,0.0
53,19428683-1,0.004908175207674503,0.0,0.0074956221505999565,1.1589791881760902e-07,0.0035798975732177496,0.0,0.009240180253982544,0.0,0.00611970666795969,0.0,0.0
54,19505443-1,5.8680790971266106e-05,0.001861184136942029,0.0009542495827190578,2.405639497737866e-05,4.322087534092134e-06,0.0065083797089755535,1.2092499446225702e-07,0.0069487798027694225,0.0,0.00013877051242161542,0.0
55,19524090-1,0.007475982420146465,0.010835299268364906,0.00966996792703867,1.4048232577223985e-09,0.003333771601319313,0.008971085771918297,0.018100766465067863,9.235951665687026e-07,0.0448451042175293,0.0,0.020087769255042076
56,19524092-1,0.0060418820939958096,0.001807415159419179,0.01138693280518055,1.3345821514576528e-07,0.004680161364376545,0.008179252967238426,0.012713865377008915,0.00077206821879372,4.344854005466914e-06,1.1120269149955675e-08,0.0
57,19559070-1,0.0,0.010086102411150932,0.0,0.0,4.484064902499085e-06,0.0,0.0,6.093329147915938e-07,0.0,0.0,0.0
58,19647800-1,0.007502622902393341,0.006537127774208784,0.0010780284646898508,0.008630231954157352,0.00892193615436554,0.0,0.011502092704176903,0.013392132706940174,0.0,7.226396064652363e-06,0.0
